Name,Pop
E07000075,86981
E07000076,145803
E07000077,89179
E10000015,1184365
E07000095,96876
E07000096,154280
E07000242,148105
E07000098,104205
E07000099,133214
E07000240,147373
E07000243,87754
E07000102,93045
E07000103,96767
E07000241,122746
E10000020,903680
E07000143,139329
E07000144,129464
E07000145,99370
E07000146,151811
E07000147,104552
E07000148,141137
E07000149,138017
E10000029,758556
E07000200,91401
E07000244,248249
E07000202,137532
E07000203,102493
E07000245,178881
E12000007,8908081
E09000007,262226
E09000001,8706
E09000012,279665
E09000013,185426
E09000014,270624
E09000019,239142
E09000020,156197
E09000022,325917
E09000023,303536
E09000025,352005
E09000028,317256
E09000030,317705
E09000032,326474
E09000033,255324
E09000002,211998
E09000003,392140
E09000004,247258
E09000005,330795
E09000006,331096
E09000008,385346
E09000009,341982
E09000010,333869
E09000011,286186
E09000015,250149
E09000016,257810
E09000017,304824
E09000018,270782
E09000021,175470
E09000024,206186
E09000026,303858
E09000027,196904
E09000029,204525
E09000031,276700
E12000008,9133625
E06000036,121676
E06000043,290395
E06000046,141538
E06000035,277855
E06000042,268607
E06000044,215133
E06000038,163203
E06000039,149112
E06000045,252796
E06000037,158527
E06000040,150906
E06000041,167979
E10000002,540059
E07000004,199448
E07000005,95927
E07000006,70043
E07000007,174641
E10000011,554590
E07000061,103160
E07000062,92855
E07000063,102744
E07000064,95656
E07000065,160175
E10000014,1376316
E07000084,175729
E07000085,120681
E07000086,131819
E07000087,116339
E07000088,85283
E07000089,96293
E07000090,125813
E07000091,179753
E07000092,95142
E07000093,125169
E07000094,124295
E10000016,1568623
E07000105,129281
E07000106,164553
E07000107,109709
E07000108,116969
E07000112,112578
E07000109,106385
E07000110,169955
E07000111,120293
E07000113,148519
E07000114,141819
E07000115,130508
E07000116,118054
E10000025,687524
E07000177,149161
E07000178,154327
E07000179,140504
E07000180,133732
E07000181,109800
E10000030,1189934
E07000207,136626
E07000208,79928
E07000209,147889
E07000210,87253
E07000211,147757
E07000212,88000
E07000213,99334
E07000214,88874
E07000215,87496
E07000216,125610
E07000217,101167
E10000032,858852
E07000223,63869
E07000224,159827
E07000225,120750
E07000226,112448
E07000227,142217
E07000228,149716
E07000229,110025
E12000009,5599735
E06000022,192106
E06000058,395784
E06000023,463405
E06000052,565968
E06000059,376484
E06000053,2242
E06000024,213919
E06000026,263100
E06000025,282644
E06000030,221996
E06000027,135780
E06000054,498064
E10000008,795286
E07000040,144317
E07000041,130428
E07000042,81695
E07000043,96110
E07000044,86221
E07000045,132844
E07000046,68143
E07000047,55528
E10000013,633558
E07000078,117090
E07000079,89022
E07000080,86543
E07000081,129285
E07000082,119019
E07000083,92599
E10000027,559399
E07000187,114881
E07000188,122791
E07000246,153866
E07000189,167861
W92000004,3138631
W06000001,69961
W06000002,124178
W06000003,117181
W06000004,95330
W06000005,155593
W06000006,136126
W06000023,132447
W06000008,72992
W06000009,125055
W06000010,187568
W06000011,246466
W06000012,142906
W06000013,144876
W06000014,132165
W06000015,364248
W06000016,240131
W06000024,60183
W06000018,181019
W06000019,69713
W06000020,93049
W06000021,94142
W06000022,153302
S92000003,5438100
S12000033,227560
S12000034,261470
S12000041,116040
S12000035,86260
S12000036,518500
S12000005,51400
S12000006,148790
S12000042,148750
S12000008,121840
S12000045,108330
S12000010,105790
S12000011,95170
S12000014,160340
S12000047,371910
S12000049,626410
S12000017,235540
S12000018,78150
S12000019,91340
S12000020,95520
S12000013,26830
S12000021,135280
S12000050,340180
S12000023,22190
S12000048,151290
S12000038,177790
S12000026,115270
S12000027,22990
S12000028,112550
S12000029,319020
S12000030,94330
S12000039,89130
S12000040,182140
