! time (days)      u            v          prev=I/S0
    -1.61500     5.00000     0.00000     0.00000
    -1.61400     5.00000     0.00000     0.00000
    -1.61300     5.00000     0.00000     0.00000
    -1.61200     5.00000     0.00000     0.00000
    -1.61100     5.00000     0.00000     0.00000
    -1.61000     5.00000     0.00000     0.00000
    -1.60900     5.00000     0.00000     0.00000
    -1.60800     5.00000     0.00000     0.00000
    -1.60700     5.00000     0.00000     0.00000
    -1.60600     5.00000     0.00000     0.00000
    -1.60500     5.00000     0.00000     0.00000
    -1.60400     5.00000     0.00000     0.00000
    -1.60300     5.00000     0.00000     0.00000
    -1.60200     5.00000     0.00000     0.00000
    -1.60100     5.00000     0.00000     0.00000
    -1.60000     5.00000     0.00000     0.00000
    -1.59900     5.00000     0.00000     0.00000
    -1.59800     5.00000     0.00000     0.00000
    -1.59700     5.00000     0.00000     0.00000
    -1.59600     5.00000     0.00000     0.00000
    -1.59500     5.00000     0.00000     0.00000
    -1.59400     5.00000     0.00000     0.00000
    -1.59300     5.00000     0.00000     0.00000
    -1.59200     5.00000     0.00000     0.00000
    -1.59100     5.00000     0.00000     0.00000
    -1.59000     5.00000     0.00000     0.00000
    -1.58900     5.00000     0.00000     0.00000
    -1.58800     5.00000     0.00000     0.00000
    -1.58700     5.00000     0.00000     0.00000
    -1.58600     5.00000     0.00000     0.00000
    -1.58500     5.00000     0.00000     0.00000
    -1.58400     5.00000     0.00000     0.00000
    -1.58300     5.00000     0.00000     0.00000
    -1.58200     5.00000     0.00000     0.00000
    -1.58100     5.00000     0.00000     0.00000
    -1.58000     5.00000     0.00000     0.00000
    -1.57900     5.00000     0.00000     0.00000
    -1.57800     5.00000     0.00000     0.00000
    -1.57700     5.00000     0.00000     0.00000
    -1.57600     5.00000     0.00000     0.00000
    -1.57500     5.00000     0.00000     0.00000
    -1.57400     5.00000     0.00000     0.00000
    -1.57300     5.00000     0.00000     0.00000
    -1.57200     5.00000     0.00000     0.00000
    -1.57100     5.00000     0.00000     0.00000
    -1.57000     5.00000     0.00000     0.00000
    -1.56900     5.00000     0.00000     0.00000
    -1.56800     5.00000     0.00000     0.00000
    -1.56700     5.00000     0.00000     0.00000
    -1.56600     5.00000     0.00000     0.00000
    -1.56500     5.00000     0.00000     0.00000
    -1.56400     5.00000     0.00000     0.00000
    -1.56300     5.00000     0.00000     0.00000
    -1.56200     5.00000     0.00000     0.00000
    -1.56100     5.00000     0.00000     0.00000
    -1.56000     5.00000     0.00000     0.00000
    -1.55900     5.00000     0.00000     0.00000
    -1.55800     5.00000     0.00000     0.00000
    -1.55700     5.00000     0.00000     0.00000
    -1.55600     5.00000     0.00000     0.00000
    -1.55500     5.00000     0.00000     0.00000
    -1.55400     5.00000     0.00000     0.00000
    -1.55300     5.00000     0.00000     0.00000
    -1.55200     5.00000     0.00000     0.00000
    -1.55100     5.00000     0.00000     0.00000
    -1.55000     5.00000     0.00000     0.00000
    -1.54900     5.00000     0.00000     0.00000
    -1.54800     5.00000     0.00000     0.00000
    -1.54700     5.00000     0.00000     0.00000
    -1.54600     5.00000     0.00000     0.00000
    -1.54500     5.00000     0.00000     0.00000
    -1.54400     5.00000     0.00000     0.00000
    -1.54300     5.00000     0.00000     0.00000
    -1.54200     5.00000     0.00000     0.00000
    -1.54100     5.00000     0.00000     0.00000
    -1.54000     5.00000     0.00000     0.00000
    -1.53900     5.00000     0.00000     0.00000
    -1.53800     5.00000     0.00000     0.00000
    -1.53700     5.00000     0.00000     0.00000
    -1.53600     5.00000     0.00000     0.00000
    -1.53500     5.00000     0.00000     0.00000
    -1.53400     5.00000     0.00000     0.00000
    -1.53300     5.00000     0.00000     0.00000
    -1.53200     5.00000     0.00000     0.00000
    -1.53100     5.00000     0.00000     0.00000
    -1.53000     5.00000     0.00000     0.00000
    -1.52900     5.00000     0.00000     0.00000
    -1.52800     5.00000     0.00000     0.00000
    -1.52700     5.00000     0.00000     0.00000
    -1.52600     5.00000     0.00000     0.00000
    -1.52500     5.00000     0.00000     0.00000
    -1.52400     5.00000     0.00000     0.00000
    -1.52300     5.00000     0.00000     0.00000
    -1.52200     5.00000     0.00000     0.00000
    -1.52100     5.00000     0.00000     0.00000
    -1.52000     5.00000     0.00000     0.00000
    -1.51900     5.00000     0.00000     0.00000
    -1.51800     5.00000     0.00000     0.00000
    -1.51700     5.00000     0.00000     0.00000
    -1.51600     5.00000     0.00000     0.00000
    -1.51500     5.00000     0.00000     0.00000
    -1.51400     5.00000     0.00000     0.00000
    -1.51300     5.00000     0.00000     0.00000
    -1.51200     5.00000     0.00000     0.00000
    -1.51100     5.00000     0.00000     0.00000
    -1.51000     5.00000     0.00000     0.00000
    -1.50900     5.00000     0.00000     0.00000
    -1.50800     5.00000     0.00000     0.00000
    -1.50700     5.00000     0.00000     0.00000
    -1.50600     5.00000     0.00000     0.00000
    -1.50500     5.00000     0.00000     0.00000
    -1.50400     5.00000     0.00000     0.00000
    -1.50300     5.00000     0.00000     0.00000
    -1.50200     5.00000     0.00000     0.00000
    -1.50100     5.00000     0.00000     0.00000
    -1.50000     5.00000     0.00000     0.00000
    -1.49900     5.00000     0.00000     0.00000
    -1.49800     5.00000     0.00000     0.00000
    -1.49700     5.00000     0.00000     0.00000
    -1.49600     5.00000     0.00000     0.00000
    -1.49500     5.00000     0.00000     0.00000
    -1.49400     5.00000     0.00000     0.00000
    -1.49300     5.00000     0.00000     0.00000
    -1.49200     5.00000     0.00000     0.00000
    -1.49100     5.00000     0.00000     0.00000
    -1.49000     5.00000     0.00000     0.00000
    -1.48900     5.00000     0.00000     0.00000
    -1.48800     5.00000     0.00000     0.00000
    -1.48700     5.00000     0.00000     0.00000
    -1.48600     5.00000     0.00000     0.00000
    -1.48500     5.00000     0.00000     0.00000
    -1.48400     5.00000     0.00000     0.00000
    -1.48300     5.00000     0.00000     0.00000
    -1.48200     5.00000     0.00000     0.00000
    -1.48100     5.00000     0.00000     0.00000
    -1.48000     5.00000     0.00000     0.00000
    -1.47900     5.00000     0.00000     0.00000
    -1.47800     5.00000     0.00000     0.00000
    -1.47700     5.00000     0.00000     0.00000
    -1.47600     5.00000     0.00000     0.00000
    -1.47500     5.00000     0.00000     0.00000
    -1.47400     5.00000     0.00000     0.00000
    -1.47300     5.00000     0.00000     0.00000
    -1.47200     5.00000     0.00000     0.00000
    -1.47100     5.00000     0.00000     0.00000
    -1.47000     5.00000     0.00000     0.00000
    -1.46900     5.00000     0.00000     0.00000
    -1.46800     5.00000     0.00000     0.00000
    -1.46700     5.00000     0.00000     0.00000
    -1.46600     5.00000     0.00000     0.00000
    -1.46500     5.00000     0.00000     0.00000
    -1.46400     5.00000     0.00000     0.00000
    -1.46300     5.00000     0.00000     0.00000
    -1.46200     5.00000     0.00000     0.00000
    -1.46100     5.00000     0.00000     0.00000
    -1.46000     5.00000     0.00000     0.00000
    -1.45900     5.00000     0.00000     0.00000
    -1.45800     5.00000     0.00000     0.00000
    -1.45700     5.00000     0.00000     0.00000
    -1.45600     5.00000     0.00000     0.00000
    -1.45500     5.00000     0.00000     0.00000
    -1.45400     5.00000     0.00000     0.00000
    -1.45300     5.00000     0.00000     0.00000
    -1.45200     5.00000     0.00000     0.00000
    -1.45100     5.00000     0.00000     0.00000
    -1.45000     5.00000     0.00000     0.00000
    -1.44900     5.00000     0.00000     0.00000
    -1.44800     5.00000     0.00000     0.00000
    -1.44700     5.00000     0.00000     0.00000
    -1.44600     5.00000     0.00000     0.00000
    -1.44500     5.00000     0.00000     0.00000
    -1.44400     5.00000     0.00000     0.00000
    -1.44300     5.00000     0.00000     0.00000
    -1.44200     5.00000     0.00000     0.00000
    -1.44100     5.00000     0.00000     0.00000
    -1.44000     5.00000     0.00000     0.00000
    -1.43900     5.00000     0.00000     0.00000
    -1.43800     5.00000     0.00000     0.00000
    -1.43700     5.00000     0.00000     0.00000
    -1.43600     5.00000     0.00000     0.00000
    -1.43500     5.00000     0.00000     0.00000
    -1.43400     5.00000     0.00000     0.00000
    -1.43300     5.00000     0.00000     0.00000
    -1.43200     5.00000     0.00000     0.00000
    -1.43100     5.00000     0.00000     0.00000
    -1.43000     5.00000     0.00000     0.00000
    -1.42900     5.00000     0.00000     0.00000
    -1.42800     5.00000     0.00000     0.00000
    -1.42700     5.00000     0.00000     0.00000
    -1.42600     5.00000     0.00000     0.00000
    -1.42500     5.00000     0.00000     0.00000
    -1.42400     5.00000     0.00000     0.00000
    -1.42300     5.00000     0.00000     0.00000
    -1.42200     5.00000     0.00000     0.00000
    -1.42100     5.00000     0.00000     0.00000
